,img,img_path,img_annotation,img_pretrain,ann_file,pretrain_file
0,Subset3_Train_10_Akoya,/data/acharl15/gleason_grading/Subset3_Train_10_Akoya.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_10_Akoya/,,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']",
1,Subset1_Train_30,/data/acharl15/gleason_grading/Subset1_Train_30.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_30/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_30/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
2,Subset1_Train_28,/data/acharl15/gleason_grading/Subset1_Train_28.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_28/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_28/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
3,Subset1_Train_75,/data/acharl15/gleason_grading/Subset1_Train_75.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_75/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_75/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
4,Subset3_Train_25_Leica,/data/acharl15/gleason_grading/Subset3_Train_25_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_25_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_25_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
5,Subset1_Train_94,/data/acharl15/gleason_grading/Subset1_Train_94.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_94/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_94/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
6,Subset3_Train_22_Olympus,/data/acharl15/gleason_grading/Subset3_Train_22_Olympus.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_22_Olympus/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_22_Olympus/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
7,Subset2_Train_22,/data/acharl15/gleason_grading/Subset2_Train_22.tiff,/data/acharl15/gleason_grading/patch/Subset2_Train_22/,/data/acharl15/gleason_grading/pretrain/Subset2_Train_22/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
8,Subset1_Train_19,/data/acharl15/gleason_grading/Subset1_Train_19.tiff,,,,
9,Subset1_Train_98,/data/acharl15/gleason_grading/Subset1_Train_98.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_98/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_98/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
