name,img,name
Subset1_Train_30,Subset1_Train_30.tiff,Subset1_Train_30
Subset1_Train_28,Subset1_Train_28.tiff,Subset1_Train_28
Subset1_Train_75,Subset1_Train_75.tiff,Subset1_Train_75
Subset1_Train_94,Subset1_Train_94.tiff,Subset1_Train_94
Subset1_Train_98,Subset1_Train_98.tiff,Subset1_Train_98
Subset1_Train_55,Subset1_Train_55.tiff,Subset1_Train_55
Subset1_Train_81,Subset1_Train_81.tiff,Subset1_Train_81
Subset1_Train_5,Subset1_Train_5.tiff,Subset1_Train_5
Subset1_Train_20,Subset1_Train_20.tiff,Subset1_Train_20
Subset1_Train_40,Subset1_Train_40.tiff,Subset1_Train_40
Subset1_Train_33,Subset1_Train_33.tiff,Subset1_Train_33
Subset1_Train_24,Subset1_Train_24.tiff,Subset1_Train_24
Subset1_Train_56,Subset1_Train_56.tiff,Subset1_Train_56
Subset1_Train_79,Subset1_Train_79.tiff,Subset1_Train_79
Subset1_Train_36,Subset1_Train_36.tiff,Subset1_Train_36
Subset1_Train_6,Subset1_Train_6.tiff,Subset1_Train_6
Subset1_Train_51,Subset1_Train_51.tiff,Subset1_Train_51
Subset1_Train_38,Subset1_Train_38.tiff,Subset1_Train_38
Subset1_Train_90,Subset1_Train_90.tiff,Subset1_Train_90
Subset1_Train_49,Subset1_Train_49.tiff,Subset1_Train_49
Subset1_Train_43,Subset1_Train_43.tiff,Subset1_Train_43
Subset1_Train_85,Subset1_Train_85.tiff,Subset1_Train_85
Subset1_Train_70,Subset1_Train_70.tiff,Subset1_Train_70
Subset1_Train_80,Subset1_Train_80.tiff,Subset1_Train_80
Subset1_Train_52,Subset1_Train_52.tiff,Subset1_Train_52
Subset1_Train_87,Subset1_Train_87.tiff,Subset1_Train_87
Subset1_Train_60,Subset1_Train_60.tiff,Subset1_Train_60
Subset1_Train_99,Subset1_Train_99.tiff,Subset1_Train_99
Subset1_Train_93,Subset1_Train_93.tiff,Subset1_Train_93
Subset1_Train_97,Subset1_Train_97.tiff,Subset1_Train_97
Subset1_Train_44,Subset1_Train_44.tiff,Subset1_Train_44
Subset1_Train_21,Subset1_Train_21.tiff,Subset1_Train_21
Subset1_Train_46,Subset1_Train_46.tiff,Subset1_Train_46
Subset1_Train_88,Subset1_Train_88.tiff,Subset1_Train_88
Subset1_Train_54,Subset1_Train_54.tiff,Subset1_Train_54
Subset1_Train_58,Subset1_Train_58.tiff,Subset1_Train_58
Subset1_Train_25,Subset1_Train_25.tiff,Subset1_Train_25
Subset1_Train_9,Subset1_Train_9.tiff,Subset1_Train_9
Subset1_Train_23,Subset1_Train_23.tiff,Subset1_Train_23
Subset1_Train_74,Subset1_Train_74.tiff,Subset1_Train_74
Subset1_Train_42,Subset1_Train_42.tiff,Subset1_Train_42
Subset1_Train_32,Subset1_Train_32.tiff,Subset1_Train_32
Subset1_Train_31,Subset1_Train_31.tiff,Subset1_Train_31
Subset1_Train_73,Subset1_Train_73.tiff,Subset1_Train_73
Subset1_Train_22,Subset1_Train_22.tiff,Subset1_Train_22
Subset1_Train_83,Subset1_Train_83.tiff,Subset1_Train_83
Subset1_Train_29,Subset1_Train_29.tiff,Subset1_Train_29
Subset1_Train_41,Subset1_Train_41.tiff,Subset1_Train_41
Subset1_Train_92,Subset1_Train_92.tiff,Subset1_Train_92
Subset1_Train_66,Subset1_Train_66.tiff,Subset1_Train_66
Subset1_Train_65,Subset1_Train_65.tiff,Subset1_Train_65
Subset1_Train_62,Subset1_Train_62.tiff,Subset1_Train_62
Subset1_Train_71,Subset1_Train_71.tiff,Subset1_Train_71
Subset1_Train_86,Subset1_Train_86.tiff,Subset1_Train_86
Subset1_Train_27,Subset1_Train_27.tiff,Subset1_Train_27
Subset1_Train_48,Subset1_Train_48.tiff,Subset1_Train_48
Subset1_Train_26,Subset1_Train_26.tiff,Subset1_Train_26
Subset1_Train_4,Subset1_Train_4.tiff,Subset1_Train_4
Subset1_Train_69,Subset1_Train_69.tiff,Subset1_Train_69
Subset1_Train_95,Subset1_Train_95.tiff,Subset1_Train_95
Subset1_Train_67,Subset1_Train_67.tiff,Subset1_Train_67
Subset1_Train_53,Subset1_Train_53.tiff,Subset1_Train_53
